Cp A 2 ms;Cp P 2 ms;Cr A 2 ms;Cr P 2 ms;Cp A 4 ms;Cp P 4 ms;Cr A 4 ms;Cr P 4 ms;Cp A 10 ms;Cp P 10 ms;Cr A 10 ms;Cr P 10 ms;Cp A 20 ms;Cp P 20 ms;Cr A 20 ms;Cr P 20 ms;Cp A 80 ms;Cp P 80 ms;Cr A 80 ms;Cr P 80 ms
90.18238068;84.16394806;91.68133545;85.87540436;90.09865952;84.20766449;91.73228073;85.89471817;90.12689972;84.20995789;91.719104;84.20995789;90.13525543;84.24614258;91.70867233;85.92279282;90.11246586;84.25202694;91.70044613;85.93108387
90.06123352;84.25402069;91.69481659;86.04534912;90.0958519;84.21392059;91.76415253;85.89799881;90.08355713;84.25085907;91.74154816;84.25085907;90.10071564;84.23261948;91.72155457;85.9064209;90.10470695;84.24623871;91.71055813;85.92542229
90.19566345;84.15750885;91.63871765;85.8901062;90.13114548;84.20448303;91.73995209;85.90104675;90.13236237;84.24136658;91.74060516;84.24136658;90.13239975;84.22109756;91.72894669;85.93572769;90.11369209;84.25588322;91.70086479;85.93386993
90.05077362;84.27227783;91.69250488;86.05711365;90.1137619;84.2068634;91.7386055;85.9010849;90.12520294;84.21819153;91.73122864;84.21819153;90.14890823;84.23509293;91.70059967;85.9135704;90.13584785;84.23519173;91.69320984;85.9270586
90.1476593;84.14653015;91.64892578;85.77180481;90.08627701;84.2024231;91.7481575;85.8830986;90.07592926;84.27179871;91.74294281;84.27179871;90.1175354;84.2514679;91.72025833;85.91339188;90.13687763;84.24364719;91.68697243;85.94156609
89.97257996;84.28196716;91.75089264;86.03357697;90.1411171;84.1890831;91.6920929;85.89717102;90.14394684;84.21357422;91.78325958;84.21357422;90.1151268;84.25260773;91.71075287;85.91698074;90.13137112;84.23721046;91.69514122;85.93575497
90.24298859;84.17233276;91.676651;85.81452179;90.09697723;84.22563934;91.73352051;85.90195465;90.09066467;84.21348724;91.72720947;84.21348724;90.12551727;84.21935501;91.6903595;85.90852051;90.1426302;84.23500481;91.69550381;85.9421402
90.07546997;84.27331543;91.65315247;86.09370422;90.1042099;84.23856354;91.7394104;85.8993721;90.13056946;84.19264526;91.70471344;84.19264526;90.12300339;84.23267517;91.71343918;85.9280838;90.12494488;84.24418335;91.69024467;85.9414526
90.19033813;84.22252655;91.69484711;85.87615967;90.09998703;84.22213745;91.74968719;85.87143326;90.10730743;84.2427002;91.72574768;84.2427002;90.11641998;84.24380188;91.71754456;85.8996666;90.13740025;84.23843193;91.68358707;85.93307877
90.05236816;84.28900146;91.67866516;86.03363037;90.0985527;84.25489426;91.7874794;85.8741684;90.10555573;84.26011505;91.72578278;84.26011505;90.11755295;84.25214462;91.7250267;85.93735886;90.13396969;84.24593983;91.68962879;85.94187241
90.22707367;84.25403595;91.60310364;85.93765259;90.09867096;84.26040649;91.72457886;85.85728836;90.10614166;84.19944763;91.75671539;84.19944763;90.13022308;84.23208847;91.730439;85.92281876;90.1431242;84.23942261;91.67911816;85.94070911
90.06887054;84.24904633;91.71670532;85.95343018;90.09588623;84.27593613;91.68813324;85.89068604;90.0924118;84.26345367;91.72658539;84.26345367;90.14157333;84.22929688;91.68390121;85.92678986;90.13612156;84.2411232;91.69070797;85.93918705
90.12026978;84.32292938;91.63462067;85.92541504;90.09656143;84.23833084;91.71836472;85.9008522;90.12940826;84.20825348;91.73434906;84.20825348;90.1425621;84.22151337;91.70763245;85.90373764;90.14010811;84.24306011;91.68153248;85.93734055
90.0945282;84.30325317;91.71537018;85.924263;90.10057831;84.23014069;91.7694931;85.88555527;90.10566406;84.24176025;91.75773163;84.24176025;90.12338943;84.25169601;91.7166275;85.92709198;90.12937469;84.2495863;91.69362068;85.95137024
90.15139008;84.24169922;91.65505219;85.97605896;90.1052742;84.25011063;91.72589493;85.87646866;90.15502167;84.23063812;91.70995636;84.23063812;90.1521843;84.21481171;91.67851028;85.94857712;90.14630146;84.24029922;91.70609226;85.92914829
90.06942749;84.2097702;91.77487946;85.92939758;90.08853531;84.23805618;91.73070145;85.88110733;90.10196075;84.2211731;91.70829773;84.2211731;90.12024841;84.23268509;91.71044464;85.93470459;90.15220623;84.22509441;91.71567154;85.92720165
